Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-10-10,365.25,377.97,364.57,370.16,7168611,USD,Investing.com,ETHEREUM
2020-10-11,370.28,377.27,369.23,374.19,5219570,USD,Investing.com,ETHEREUM
2020-10-12,374.39,394.58,366.05,386.68,10388109,USD,Investing.com,ETHEREUM
2020-10-13,386.64,387.06,374.57,381.23,7917935,USD,Investing.com,ETHEREUM
2020-10-14,381.13,387.11,373.62,379.15,8075129,USD,Investing.com,ETHEREUM
2020-10-15,378.96,380.77,370.39,377.45,7928929,USD,Investing.com,ETHEREUM
2020-10-16,377.6,379.6,362.65,365.17,7590752,USD,Investing.com,ETHEREUM
2020-10-17,365.08,369.94,363.18,368.63,4984941,USD,Investing.com,ETHEREUM
2020-10-18,368.61,378.49,367.54,377.81,4675456,USD,Investing.com,ETHEREUM
2020-10-19,377.85,383.97,372.72,379.19,6851083,USD,Investing.com,ETHEREUM
2020-10-20,379.03,380.14,367.16,368.35,7457144,USD,Investing.com,ETHEREUM
2020-10-21,368.53,400.36,368.06,391.2,13609327,USD,Investing.com,ETHEREUM
2020-10-22,391.39,420.12,391.21,414.05,12649307,USD,Investing.com,ETHEREUM
2020-10-23,414.12,419.11,402.91,408.52,8175907,USD,Investing.com,ETHEREUM
2020-10-24,408.59,416.28,407.74,411.92,2675342,USD,Investing.com,ETHEREUM
2020-10-25,412.44,417.07,403.95,406.09,3054455,USD,Investing.com,ETHEREUM
2020-10-26,406.45,410.41,383.21,394.11,9063481,USD,Investing.com,ETHEREUM
2020-10-27,393.93,409.85,390.92,403.15,6287606,USD,Investing.com,ETHEREUM
2020-10-28,403.11,408.1,381.51,388.14,9962428,USD,Investing.com,ETHEREUM
2020-10-29,388.25,393.33,381.53,386.76,3035082,USD,Investing.com,ETHEREUM
2020-10-30,387.16,391.98,374.36,382.41,2807752,USD,Investing.com,ETHEREUM
2020-10-31,382.81,394.01,380.53,386.42,6424100,USD,Investing.com,ETHEREUM
2020-11-01,386.36,397.32,384.94,396.29,5518671,USD,Investing.com,ETHEREUM
2020-11-02,396.45,404.04,379.13,383.53,9433208,USD,Investing.com,ETHEREUM
2020-11-03,383.64,389.98,370.96,387.92,6731508,USD,Investing.com,ETHEREUM
2020-11-04,388.23,407.9,377.22,402.19,6168503,USD,Investing.com,ETHEREUM
2020-11-05,402.5,419.94,396.46,416.63,7043761,USD,Investing.com,ETHEREUM
2020-11-06,416.59,457.79,415.08,455.72,6529694,USD,Investing.com,ETHEREUM
2020-11-07,455.78,467.88,425.57,435.4,7779787,USD,Investing.com,ETHEREUM
2020-11-08,435.39,460.09,432.44,454.68,4817737,USD,Investing.com,ETHEREUM
